Theta,Fx,Fy,Fz
0,0.00038041613877551,-0.00028905347755102,0.000790262718367347
10,-0.000321648416326531,-0.00281054563265306,0.138020963265306
20,-0.00978038285714286,-2.13848685714286E-05,0.1906876
30,-0.0156374130612245,-3.64534351020408E-05,0.20455173877551
40,-0.0212060555102041,-5.12293485714286E-05,0.197434040816327
50,-0.0261893493877551,-6.43070726530612E-05,0.175215795918367
60,-0.0303415648979592,-7.60952791836735E-05,0.141473191836735
70,-0.0334593575510204,-8.61661224489796E-05,0.0991369551020408
80,-0.0353920187755102,-9.44375428571429E-05,0.0510249706122449
90,-0.0360438089795918,-9.85505469387755E-05,9.51351102040816E-08
100,-0.0353925224489796,-9.32836897959184E-05,-0.0510247959183673
110,-0.0334595053061224,-8.61445387755102E-05,-0.0991368081632653
120,-0.0303412424489796,-7.62846008163265E-05,-0.141473265306122
130,-0.02618964,-6.41953779591837E-05,-0.175215779591837
140,-0.0212062579591837,-5.11444391836735E-05,-0.197434048979592
150,-0.0156372832653061,-0.00003666928,-0.204551779591837
160,-0.00978007265306122,-2.16819681632653E-05,-0.190688914285714
170,-0.00239164375510204,-0.00122839044897959,-0.136910751020408
180,0.00033990333877551,-0.000258349044897959,0.000780454302040816
